Id,EssaySet,Score1,Score2,EssayText,Arabic Translation
1,1,1,1,"Some additional information that we would need to replicate the experiment is how much vinegar should be placed in each identical container, how or what tool to use to measure the mass of the four different samples and how much distilled water to use to rinse the four samples after taking them out of the vinegar.",بعض المعلومات الإضافية التي سنكون في حاجة لتكرار التجربة بسببها هي كم الخل ينبغي أن توضع في كل حاوية متطابقة، كيف أو ما أداة لاستخدامها لقياس كتلة عينات الأربعة المختلفة ومقدار الماء المقطر لاستخدام لشطف العينات الأربعة بعد اخراجها من الخل.
2,1,1,1,"After reading the expirement, I realized that the additional information you need to replicate the expireiment is one, the amant of vinegar you poured in each container, two, label the containers before you start yar expirement and three, write a conclusion to make sure yar results are accurate.",بعد قراءة التجربة، أدركت أن المعلومات الإضافية التي تحتاج لتكرار التجربة هي، واحد الكمية من الخل التي تدفقت في كل حاوية، اثنان، تسمية الحاويات قبل أن تبدأ التجربة يار وثلاثة كتابة نتيجة للتأكد من ان النتائج دقيقة.
3,1,1,1,"What you need is more trials, a control set up, and an exact amount of vinegar to pour in each cup/beaker. You could also take and check the mass every 30 min or 1 hour.",ما تحتاج إليه هو المزيد من التجارب، وضع عنصر تحكم ، الكمية المحددة من الخل لتصب في كل كوب / الكأس.  يمكن أيضا أن تأخذ والتحقق من كتلة كل ثلالثين دقيقة أو  ساعة.
4,1,0,0,The student should list what rock is better and what rock is the worse in the procedure.,يجب سرد الطالب ما هو أفضل الصخور  وما هو أسوأ الصخور في الإجراء.
5,1,2,2,"For the students to be able to make a replicate, they would need to tell use how much vinegar is used and what tipe of materials is needed for the expirement.",للطلاب ان تكون قادرة على تكرار التجربة، فإنها تحتاج إلى معرفةكمية الخل للاستخدام  وما هي انواع المواد التي يحتاجون اليها
6,1,1,0,I would need the information of why you would let the different samples dry out of the containers. And what are they drying into?, يجب ان اعلم لماذا ستترك عينات مختلفة تجف خارج الحاويات. وفي ماذا تجف هذه العينات؟
7,1,1,0,"The information I would need in order to sucessfully replicate the experiment is the correct measurement they used for the experiment, also the materials that was used to creat the experiament. After the 24 hours, of removing the samples from the container and rinsen each sample with distilled water. Making it dry for 30 mintued might not be long enough to really determine the mass of each sample, especially when you have more than one different samples to do with different texture.",المعلومات التي احتاجها من أجل تكرار بنجاح التجربة هي القياس الصحيح الذي استخدم للتجربة، وأيضا المواد التي تم استخدامها ليخلق التجرة. بعد مرور اربعةوعشرون ساعة  من إزالة عينات من الحاوية وغسل كل عينة مع الماء المقطر. مما يجعلها تجف لمدة ثلاثين دقيقة  مما قد لا تكون مدة  طويلة بما فيه الكفاية لتحديد حقا كتلة من كل عينة، وخاصة عندما يكون لديك أكثر من عينة مختلفة للتجربة مع نسيج مختلف.
8,1,3,3,"You would need many more pieces of information to replicate the experiment. You would need the type of samples to begin with in the procedure. You would also need to know the amount of vinegar used in each container. You would also need to know exactly how to mass the samples and what types of container to use (plastic for example, might alter the results).", تحتاج إلى كثير من المعلومات لتكرار التجربة. أن كنت في حاجة إلى نوع من عينات لتبدأ في الإجراء. سوف تحتاج أيضا إلى معرفة كمية من الخل المستخدمة في كل حاوية. قد تحتاج أيضا إلى معرفة بالضبط كيفية كتلة العينات وأنواع الحاويات التي تم استخدامها (البلاستيك على سبيل المثال، قد يغير من النتائج).
9,1,3,3,Some additional information you will need are the material. You also need to know the size of the contaneir to measure how the acid rain effected it. You need to know how much vineager is used for each sample. Another thing that would help is to know how big the sample stones are by measureing  the best possible way.,بعض المعلومات الإضافية التي ستحتاج هي المادة. أنت أيضا بحاجة إلى معرفة حجم الحاوية لقياس مدى تأثير المطر الحمضي. عليك أن تعرف كمية الخل يستخدم لكل عينة. شيء آخر من شأنه أن يساعد هو معرفة حجم عينة الحجارة من خلال القياس بأفضل طريقة ممكنة.
10,1,2,2,"Inorder to replicate the experiment, we will need to add information such as sticlenx statement of what the four samples are and how many pieces you will need, as well as the amount of vinegar bring poured into the containers and the instruments you will need to retrieve when determining mass.However, revisions of sentences and renuminering will be required.", لتكرار التجربة، نحن سوف تحتاج إلى إضافة معلومات مثل  ما هي عينات أربعة وعدد القطع التي سوف تحتاج إليها، فضلا عن كمية  الخل التي تصب في الحاويات والادوات التي  سوف تحتاجها عند تحديد الكتلة.، سوف تكون هناك حاجة لمراجعة النتائج و الارقام.
11,1,0,0,An additional information that i would need in order to replicate the experiment,لمعلومات إضافية أنني في حاجة لتكرار التجربة
12,1,3,3,The additional infomation you would need to replicate the experiment would include the size of the samples. Also you would need to know the kind of vinegar. In a ddition it is crucial to get the same type and size containers.,ومن المعلومات الإضافية التي ستحتاج إلى تكرار التجربة ستشمل حجم العينات. كما أن عليك أن تعرف هذا النوع من الخل. في الاضافة لا بد من الحصول على نفس نوع وحجم الحاويات.
13,1,2,2,"There are two pieces of additional information neccisary to replicate the experiment. Fipst of all the procedure does not officialy specify what the four samples are. Also,the procedure does not specify how much vinigar to pour for each container. A good procedure would have specified this",هناك قطعتين من  المعلومات الضرورية و الإضافية لتكرار التجربة. اولا الإجراء لا تحدد رسميا ما هي العينات الأربعة. أيضا، فإن الإجراء لا يحدد مقدار الخل الذي صب في كل حاوية. ومن شأن إجراء جيد ان يحدد هذا.
14,1,2,2,In order the replicate the experiment you need,في أمر تكرار التجربة التي تحتاج إليها
